label_raw,response_value
Achievement-striving,4.25
Activity Level,3.75
Adventurousness,3.75
Altruism,4.25
Anger,2.0
Anxiety,4.25
Artistic Interests,4.5
Assertiveness,4.0
Cautiousness,4.0
Cheerfulness,4.5
Cooperation,4.0
Depression,2.5
Dutifulness,4.0
Emotionality,4.5
Excitement-seeking,3.0
Friendliness,3.0
Gregariousness,3.25
Imagination,5.0
Immoderation,3.0
Intellect,4.25
Liberalism,3.25
Modesty,2.5
Morality,4.0
Orderliness,3.5
Self-consciousness,3.5
Self-discipline,3.0
Self-efficacy,4.25
Sympathy,4.0
Trust,3.75
Vulnerability,2.75
