label_raw,response_value
Achievement-striving,5.0
Activity Level,3.75
Adventurousness,3.75
Altruism,5.0
Anger,1.0
Anxiety,1.75
Artistic Interests,5.0
Assertiveness,4.25
Cautiousness,5.0
Cheerfulness,4.75
Cooperation,5.0
Depression,1.0
Dutifulness,5.0
Emotionality,5.0
Excitement-seeking,1.5
Friendliness,5.0
Gregariousness,3.25
Imagination,3.25
Immoderation,1.0
Intellect,5.0
Liberalism,4.0
Modesty,5.0
Morality,5.0
Orderliness,5.0
Self-consciousness,2.25
Self-discipline,5.0
Self-efficacy,5.0
Sympathy,5.0
Trust,5.0
Vulnerability,1.0
