label_raw,response_value
Achievement-striving,5.0
Activity Level,4.0
Adventurousness,3.0
Altruism,5.0
Anger,1.75
Anxiety,3.75
Artistic Interests,5.0
Assertiveness,4.25
Cautiousness,4.25
Cheerfulness,5.0
Cooperation,5.0
Depression,2.0
Dutifulness,5.0
Emotionality,4.75
Excitement-seeking,3.5
Friendliness,4.25
Gregariousness,3.0
Imagination,5.0
Immoderation,1.75
Intellect,5.0
Liberalism,3.75
Modesty,4.0
Morality,5.0
Orderliness,4.0
Self-consciousness,3.5
Self-discipline,4.0
Self-efficacy,5.0
Sympathy,5.0
Trust,4.0
Vulnerability,2.0
