label_raw,response_value
Achievement-striving,5.0
Activity Level,3.75
Adventurousness,3.5
Altruism,5.0
Anger,1.0
Anxiety,2.0
Artistic Interests,5.0
Assertiveness,3.5
Cautiousness,5.0
Cheerfulness,5.0
Cooperation,5.0
Depression,1.0
Dutifulness,5.0
Emotionality,5.0
Excitement-seeking,3.0
Friendliness,5.0
Gregariousness,5.0
Imagination,5.0
Immoderation,1.0
Intellect,5.0
Liberalism,4.5
Modesty,4.0
Morality,5.0
Orderliness,4.25
Self-consciousness,1.25
Self-discipline,5.0
Self-efficacy,5.0
Sympathy,5.0
Trust,5.0
Vulnerability,1.5
