label_raw,response_value
Achievement-striving,5.0
Activity Level,3.75
Adventurousness,2.5
Altruism,5.0
Anger,1.25
Anxiety,3.5
Artistic Interests,5.0
Assertiveness,4.25
Cautiousness,4.75
Cheerfulness,4.75
Cooperation,5.0
Depression,1.5
Dutifulness,5.0
Emotionality,4.75
Excitement-seeking,2.5
Friendliness,4.75
Gregariousness,2.5
Imagination,4.75
Immoderation,1.25
Intellect,5.0
Liberalism,3.25
Modesty,4.0
Morality,5.0
Orderliness,4.75
Self-consciousness,4.0
Self-discipline,4.25
Self-efficacy,5.0
Sympathy,5.0
Trust,4.75
Vulnerability,2.0
