label_raw,response_value
Achievement-striving,5.0
Activity Level,3.75
Adventurousness,4.0
Altruism,5.0
Anger,1.25
Anxiety,3.75
Artistic Interests,5.0
Assertiveness,4.25
Cautiousness,3.5
Cheerfulness,5.0
Cooperation,5.0
Depression,1.5
Dutifulness,4.25
Emotionality,5.0
Excitement-seeking,4.0
Friendliness,5.0
Gregariousness,5.0
Imagination,5.0
Immoderation,1.75
Intellect,5.0
Liberalism,3.75
Modesty,3.5
Morality,5.0
Orderliness,3.5
Self-consciousness,2.0
Self-discipline,4.25
Self-efficacy,5.0
Sympathy,5.0
Trust,4.75
Vulnerability,1.75
