label_raw,response_value
Achievement-striving,2.75
Activity Level,4.25
Adventurousness,1.75
Altruism,3.75
Anger,5.0
Anxiety,5.0
Artistic Interests,3.0
Assertiveness,2.25
Cautiousness,3.0
Cheerfulness,1.25
Cooperation,2.75
Depression,5.0
Dutifulness,3.5
Emotionality,4.0
Excitement-seeking,1.25
Friendliness,1.0
Gregariousness,1.0
Imagination,5.0
Immoderation,4.75
Intellect,2.75
Liberalism,4.5
Modesty,4.5
Morality,3.5
Orderliness,3.0
Self-consciousness,5.0
Self-discipline,1.5
Self-efficacy,2.0
Sympathy,5.0
Trust,1.25
Vulnerability,5.0
