label_raw,response_value
Achievement-striving,3.0
Activity Level,3.5
Adventurousness,2.25
Altruism,4.75
Anger,5.0
Anxiety,5.0
Artistic Interests,3.25
Assertiveness,1.75
Cautiousness,1.0
Cheerfulness,1.5
Cooperation,3.25
Depression,5.0
Dutifulness,3.0
Emotionality,4.75
Excitement-seeking,1.75
Friendliness,1.25
Gregariousness,1.5
Imagination,4.0
Immoderation,4.5
Intellect,2.75
Liberalism,3.75
Modesty,5.0
Morality,5.0
Orderliness,1.25
Self-consciousness,5.0
Self-discipline,1.5
Self-efficacy,2.5
Sympathy,4.75
Trust,1.5
Vulnerability,5.0
