label_raw,response_value
Achievement-striving,5.0
Activity Level,5.0
Adventurousness,5.0
Altruism,5.0
Anger,1.0
Anxiety,1.0
Artistic Interests,5.0
Assertiveness,5.0
Cautiousness,2.0
Cheerfulness,5.0
Cooperation,4.0
Depression,1.0
Dutifulness,4.25
Emotionality,5.0
Excitement-seeking,5.0
Friendliness,5.0
Gregariousness,5.0
Imagination,3.75
Immoderation,4.25
Intellect,4.0
Liberalism,3.75
Modesty,2.0
Morality,5.0
Orderliness,3.75
Self-consciousness,1.0
Self-discipline,5.0
Self-efficacy,5.0
Sympathy,5.0
Trust,5.0
Vulnerability,1.25
