label_raw,response_value
Achievement-striving,5.0
Activity Level,4.0
Adventurousness,5.0
Altruism,5.0
Anger,1.0
Anxiety,3.0
Artistic Interests,5.0
Assertiveness,4.5
Cautiousness,4.0
Cheerfulness,5.0
Cooperation,5.0
Depression,1.75
Dutifulness,4.0
Emotionality,5.0
Excitement-seeking,4.75
Friendliness,5.0
Gregariousness,4.75
Imagination,5.0
Immoderation,3.0
Intellect,5.0
Liberalism,5.0
Modesty,3.5
Morality,5.0
Orderliness,1.75
Self-consciousness,1.5
Self-discipline,4.0
Self-efficacy,4.75
Sympathy,5.0
Trust,4.75
Vulnerability,2.25
