true_label,predicted_prob
1,0.8765507885307381
1,0.10773674535758843
1,0.7952618267422279
1,0.3540135415465396
0,0.09534920138509194
1,0.1071555138096829
1,0.08720316307581649
0,0.08758588555785207
0,0.9968925813898712
1,0.09236273948155811
1,0.9958782077493505
1,0.09215073116935679
1,0.3184950823517671
1,0.9987083388892912
0,0.3479819965889569
1,0.7589888841456398
0,0.17594092416835141
0,0.1496623879775904
0,0.19655451451654316
0,0.08888720241855178
1,0.6744161092731328
0,0.11946840529944137
0,0.087180474233202
1,0.4055611874641668
1,0.7791673042453972
0,0.4964695489043193
1,0.8076393570353021
0,0.122293427985784
1,0.37906683735848357
1,0.3097338106881858
0,0.8472794960634843
1,0.13296395949516063
0,0.14854367840193497
0,0.4736806905867854
1,0.5552643084131517
1,0.999965560074988
0,0.26310842082377833
1,0.3262017149769149
0,0.11310921078808862
0,0.9314277929883282
1,0.8195580117391472
1,0.08707857439634625
1,0.28909133175039303
1,0.27813093990025983
1,0.9809447840152833
0,0.10058525180639039
1,0.9691471284809217
1,0.0874658726322586
0,0.1702042664220769
0,0.3479819965889569
1,0.2903378693360559
0,0.103983441139102
1,0.964528881610439
1,0.41932341689175695
0,0.5301189701936924
1,0.21240012668750574
0,0.0984285996773351
0,0.09762618689746634
1,0.11606492782679165
1,0.11807680917659442
1,0.18336544229246202
0,0.09139740598738073
0,0.08901152945115244
0,0.09867666256636753
0,0.39546156284043693
1,0.19052819932540377
0,0.26817558975057254
1,0.0891401140796029
0,0.08758588555785207
0,0.32403953473467767
1,0.09355379427269316
0,0.11577442542303178
0,0.41932341689175695
1,0.999987842623229
1,0.985897983582594
0,0.08772221345762493
0,0.8877598596226229
1,0.999669185261238
1,0.7086774671212513
1,0.09716083455188898
0,0.196164447366182
0,0.08714789010888663
0,0.7919361375566785
1,0.12965925680607815
1,0.48121905869752873
1,0.6859717280909751
1,0.9872685149621662
1,0.4762415386521809
0,0.14575226405372033
0,0.6936041289836694
1,0.9809447840152833
0,0.3354112480216661
1,0.3262017149769149
1,0.4182975937754899
0,0.08901152945115244
1,0.8624612000363621
0,0.17367233243671779
0,0.09302696055222116
0,0.3376017932333919
1,0.11324528740830084
1,0.27694164457102466
0,0.6152450143421813
0,0.09291329962868115
0,0.7624146932501173
1,0.7271158371926613
1,0.9732281370604502
1,0.9992528544352919
1,0.9956413568349745
0,0.09762618689746634
0,0.21586496409307795
1,0.08958725647978757
0,0.5752208615216654
1,0.9995460872360152
0,0.11400196284113906
1,0.9052716488185534
0,0.4369814511751281
0,0.15284930382874126
1,0.11463154230829939
1,0.9314277929883282
1,0.9990453159255334
0,0.9995460872360152
1,0.261991788114327
0,0.17758769166385263
1,0.451451185720273
0,0.3354112480216661
0,0.1412344365095712
0,0.10004840861834009
1,0.24589355104893645
1,0.10058525180639039
0,0.11548584493083619
1,0.9499423500773797
1,0.9901798586304438
0,0.6588332651069974
1,0.8719750836398867
0,0.09084056469147729
0,0.10558320273496709
1,0.1782530108857121
1,0.9997437174127091
1,0.9089156430238894
1,0.8624612000363621
0,0.8472794960634843
0,0.32479691861547616
1,0.9958782077493505
0,0.6351609992752647
0,0.09220380300162094
1,0.964528881610439
0,0.08973411285306232
1,0.9554900948889867
0,0.6391266473239701
1,0.9224037121150188
1,0.6897954431654273
0,0.08966014225663968
1,0.964528881610439
1,0.17626574285200083
1,0.8365513553922728
0,0.0874658726322586
0,0.9382820272708445
0,0.5314997232034597
1,0.9999509783672041
1,0.7920973956422594
1,0.5512868530639122
1,0.08715385515436032
1,0.1088092321464116
0,4.881997210791945e-05
0,0.16958501575214377
0,0.46620457657295916
1,0.2710798974454611
1,0.2734076985224885
1,0.5632347939094658
0,0.31304482799328887
0,0.7343526114928196
0,0.08742492577258287
1,0.7161097166989342
0,0.12183886907211787
1,0.42632743386338295
1,0.1145619829821198
0,0.46133644024531845
1,0.08973411285306232
0,0.10832922786533043
1,0.4964695489043193
0,0.08830348537261283
0,0.14719664852161146
0,0.26310842082377833
0,0.4478063338560414
0,0.9924681249391833
0,0.6800193970702653
1,0.8575222330949537
0,0.10085887475607154
1,0.08721112117309002
1,0.985897983582594
0,0.1638762689161419
1,0.08709813427859679
0,0.8472794960634843
0,0.14492165912308216
0,0.25484616885915873
1,0.09935139078464013
1,0.12346873424568262
0,0.22349056636699183
1,0.16446367866879166
0,0.48501058973382205
1,0.9956413568349745
0,0.9545117711295656
0,0.14305577203080247
0,0.08806617530288573
1,0.5354419780962636
0,0.9355077672280289
0,0.20900944449189168
0,0.14647120553549905
0,0.9963163149422005
0,0.09778397341101344
0,0.7011741764159323
0,0.35859849796035537
0,0.7793132138395623
0,0.7520649683745249
1,0.18833690137980122
0,0.10471863888698198
1,0.9158738335600229
1,0.1496623879775904
0,0.0979431028324478
0,0.4441795506935507
0,0.5314997232034597
